NAZWA,istnieje?,"możliwe że robią także wlasne projekty potrzebny cytat/dowód (✓/ ✗ / ?)","wykonują projekty na zlecenia jako firma (tzw software house)",WAW,WRO,POZ,ŁÓDŹ,KRA,GDA,SZCZ,KATO,BYDG,LUBL,KIEL,INNE,"Adres strony",KOMENTARZE
7n,✓," "," "," "," "," "," "," "," "," "," "," "," "," "," ",https://www.7n.com/,
"10 clouds",✓,,✓,✓,✓,✓,,,,,,,,,,https://10clouds.com,
Accenture,✓,✗,,,,,,,,,,,,,,https://www.accenture.com/,
Adecco,✓,,,,,,,,,,,,,,,https://www.adecco.pl/,
"Adore HR",✓,✗,,,,,,,,,,,,,,http://adorehr.pl/,
Alten,✓,,,,,,,,,,,,,,,http://www.altenpolska.pl/pl/,
Antal,✓,,,,,,,,,,,,,,,https://antal.pl/,
Aon-Hewitt,✓,,,,,,,,,,,,,,,http://www.aon.com/poland/,
Aterima,✓,,,,,,,,,,,,,,,https://www.aterima.pl/,
Atos,✓,,✓,,✓,,,,,,,,,,,https://atos.net/pl/polska,
Biritenet,✓,?,?,✓,✗,✓,✗,✗,✗,✗,✗,✗,✓,✓,,http://www.britenet.com.pl/,
"Coberon (chronos Consulting)",✓,,,,,,,,,,,,,,,http://www.chronosconsulting.com/,
Comarch,✓,"✓ system ERP",?,✓,✓,✓,✓,✓,✓,✗,✓,✗,✓,✓,,http://www.comarch.pl/kontakt/biura-w-polsce/,
"Competence Solutions",✓,,,,,,,,,,,,,,,http://competencesolutions.com/,
Connectis,✓,✗,,,,,,,,,,,,,,https://www.connectis.pl/,
CPLjobs,✓,✗,,,,,,,,,,,,,,https://cpljobs.com/pl/,
Crossover,✓,,,,,,,,,,,,,,,https://www.crossover.com/,
Cyclad,✓,?,?,,,,,,,,,,,,,https://www.cyclad.pl/,
Cybercom,✓,?,✓,✓,,,✓,,,,,,,,,https://www.cybercom.com/pl/Poland/,
Devire,✓,,,,,,,,,,,,,,,http://www.devire.pl/,
"Davis Nolan IT Recruitment",✓,,,,,,,,,,,,,,,https://www.davisnolan.com/,
"Diverse Consulting Group",✓,,,,,,,,,,,,,,,https://www.diversecg.pl/,
"Eagle Eye Staffing Solutions",✓,✗,,,,,,,,,,,,,,http://eagleeyestaffing.com/,
Econsulting,✓,,,,,,,,,,,,,,,http://econsulting.pl/,
"Edge One Solutions",✓,✓,✓,✓,,,,,,,,,✓,,,https://www.edge1s.com/,
"EricPol => Ericsson",✗,?,✓,,,,✓,,,,,,,,,-------------------------------------------------,
eWork,✓,✗,,,,,,,,,,,,,,https://www.eworkgroup.com/pl/,
Experis,✓,✗,,,,,,,,,,,,,,http://www.experis.pl/,
Gforce,✓,,,,,,,,,,,,,,,http://www.g-force.com.pl/pl/,
GFT,✓,✗,,✓,,✓,✓,,,,,,,,,http://www.gft.com/pl/pl/index/,
"Global Logic",✓,,,,,,,,,,,,,,,https://www.globallogic.com/,
"Goldman Recruitment",✓,,,,,,,,,,,,,,,http://www.goldmanrecruitment.pl/,
"Grafton Recruitment",✓,,,,,,,,,,,,,,,https://www.grafton.pl/,
Hays,✓,,,,,,,,,,,,,,,http://www.hays.pl/,
HRK,✓,,,,,,,,,,,,,,,http://www.hrk.pl/pl,
Invite,✓,,,,,,,,,,,,✓,,,https://www.intive.com/en/join-us,
"IT Kontrakt",✓,,,,,,,,,,,,,,,http://www.itkontrakt.pl/,
"Itekna => Alten",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,-------------------------------------------------,
Itmagination,✓,?,,,,,,,,,,,,,,https://www.itmagination.com/en/home,
Jobhouse,✓,,,,,,,,,,,,,,,http://www.jobhouse.pl/,
Lionbridge,✓,,,,,,,,,,,,,,,,
Ligo,✓,,,,,,,,,,,,,,,http://www.ligohr.pl/strefa-pracownika,
Lobo,✓,,,,,,,,,,,,,,,https://lobohr.pl/,
Luxoft,✓,?,,,✓,,,,,,,,,,,https://www.luxoft.com/,
"Manpower ",✓,,,,,,,,,,,,,,,http://www.manpower.pl/,
Mobica,✓,✓,✓,✓,✓,✓,✓,,,✓,,✓,✓,,RZE,https://www.mobica.com/,
Modis,✓,,,,,,,,,,,,,,,http://modispoland.com/pl/,
"Most Wanted",✓,,,,,,,,,,,,,,,http://www.mostwanted.pl/,
Motorola,✓,✓,,,,,,,,,,,,,,-------------------------------------------------,
Natek,✓,,,,,,,,,,,,,,,http://www.natek.eu/pl/,
New-Invest,✓,,,,,,,,,,,,,,,http://new-invest.pl/pl/,
"Pearson Frank",✓,,,,,,,,,,,,,,,,
"Pgs Software",✓,,,,,,,,,,,,,,,https://www.pgs-soft.com/pl/,
"Philip Rockwell",✓,,,,,,,,,,,,,,,http://philiprockwell.eu/service,
"Power Media",✓,,,,,,,,,,,,,,,https://www.power.com.pl/,
Qumak,✓,,,,,,,,,,,,,,,http://www.qumak.pl/,
Randstad,✓,,,,,,,,,,,,,,,http://randstad.pl,
Relyon,✓,,,,,,,,,,,,,,,http://relyon.pl/,
RINF,✓,,,,,,,,,,,,,,,https://www.rinftech.com/,
Sage,✓,,,,,,,,,,,,,,,http://www.sage.com.pl/,
Salesfor,✓,,,,,,,,,,,,,,,http://www.salesfor.pl/,
Seargin,✓,,,,,,,,,,,,,,,https://seargin.com/pl/,
Sii,✓,,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✓,✗,RZE,https://sii.pl/,
"Snt (S&T Services Polska)",✓,,,,,,,,,,,,,,,http://snt.pl/,
"Sollers Consulting",✓,?,?,✓,,✓,,,,,,,✓,,,https://sollers.eu/pl/?redirect=true,
"Symphonyteleca => Harman",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,-------------------------------------------------,
"Talent Hills",✓,,,,,,,,,,,,,,,http://talenthills.pl/pl/,
"Talent Partners",✓,,,,,,,,,,,,,,,http://www.talentpartners.pl/,
Talifi,✓,,,,,,,,,,,,,,,http://www.talifi.com/,
Teamquest,✓,,,,,,,,,,,,,,,https://teamquest.pl/,
"Teleca => SymphonyTeleca",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,-------------------------------------------------,
Tieto,✓,,,,✓,,,,,✓,,,,,,https://www.tieto.com/,
Tigura,✓,,,,,,,,,,,,,,,http://www.tigura.pl/,
"Transition Technologies",✓,?,?,✓,✓,✗,✓,✓,✗,✗,✗,✗,✓,✓,,https://www.tt.com.pl/pl/,
"United Ideas",✓,,?,,,,,,,,,,,,,https://www.unitedideas.co/,
Workservice,✓,,,,,,,,,,,,,,,https://www.workservice.pl/,
Welltoc,✓,,,,,,,,,,,,,,,https://welltoc.com/pl/,
,,,,,,,,,,,,,,,,,
